run_name,row_in_run,future_return_bps,signal_direction,fold,model,signed_return_bps,net_return_bps,direction_correct,net_profitable
20260708_191023,756,1.2090329268032995,-1,fold_1_tue_to_wed,direct_multiclass_base,-1.2090329268032995,-2.2090329268032995,False,False
20260708_191023,807,0.3384882951551482,-1,fold_1_tue_to_wed,direct_multiclass_base,-0.3384882951551482,-1.3384882951551482,False,False
20260708_191023,883,0.8704293392725049,-1,fold_1_tue_to_wed,direct_multiclass_base,-0.8704293392725049,-1.8704293392725049,False,False
20260708_191023,934,0.0,1,fold_1_tue_to_wed,direct_multiclass_base,0.0,-1.0,False,False
20260708_191023,989,-1.2170705836456186,-1,fold_1_tue_to_wed,direct_multiclass_base,1.2170705836456186,0.2170705836456186,True,True
20260708_191023,1040,-3.4501299038403044,1,fold_1_tue_to_wed,direct_multiclass_base,-3.4501299038403044,-4.450129903840304,False,False
20260708_191023,1091,-2.3707669915040697,-1,fold_1_tue_to_wed,direct_multiclass_base,2.3707669915040697,1.3707669915040697,True,True
20260708_191023,1159,0.14518341908464905,1,fold_1_tue_to_wed,direct_multiclass_base,0.14518341908464905,-0.854816580915351,True,False
20260708_191023,1211,2.968151253117668,1,fold_1_tue_to_wed,direct_multiclass_base,2.968151253117668,1.968151253117668,True,True
20260708_191023,1262,1.8060743764003462,1,fold_1_tue_to_wed,direct_multiclass_base,1.8060743764003462,0.8060743764003462,True,True
20260708_191023,1313,-1.7090117317208886,-1,fold_1_tue_to_wed,direct_multiclass_base,1.7090117317208886,0.7090117317208886,True,True
20260708_191023,1367,0.870777434931469,-1,fold_1_tue_to_wed,direct_multiclass_base,-0.870777434931469,-1.870777434931469,False,False
20260708_191023,1442,3.0313071141385706,1,fold_1_tue_to_wed,direct_multiclass_base,3.0313071141385706,2.0313071141385706,True,True
